"type","ID","Period","site"
"349","BearMR","A",4,"B2"
"350","BearMR","A",4,"C2"
"351","BearMR","A",4,"D2"
"352","BearMR","B",4,"B1"
"353","BearMR","B",4,"D1"
"354","BearMR","B",4,"D2"
"355","BearMR","B",4,"E2"
"356","BearMR","C",4,"A4"
"357","BearMR","C",4,"B4"
"358","BearMR","C",4,"C4"
"359","BearMR","D",4,"B5"
"360","BearMR","D",4,"B6"
"361","BearMR","a",5,"A5"
"362","BearMR","a",5,"A6"
"363","BearMR","b",5,"C6"
"364","BearMR","c",5,"B5"
"365","BearMR","c",5,"B6"
"366","BearMR","d",5,"D4"
"367","BearMR","d",5,"F5"
"368","BearMR","d",5,"F6"
"369","BearMR","e",5,"F4"
"370","BearMR","f",5,"D3"
"371","BearMR","g",5,"B3"
"372","BearMR","g",5,"C4"
"373","BearMR","g",5,"D3"
"374","BearMR","g",5,"D5"
"375","BearMR","h",5,"F3"
"376","BearMR","i",5,"C1"
"377","BearMR","i",5,"C2"
"378","BearMR","i",5,"C3"
"379","BearMR","j",5,"A3"
"380","BearMR","j",5,"A5"
"381","BearMR","k",5,"E5"
"382","BearMR","k",5,"F6"
"383","BearMR","m",5,"A4"
"384","BearMR","n",5,"D4"
"385","BearMR","n",5,"D6"
"386","BearMR","o",5,"D2"
"387","BearMR","o",5,"D3"
"388","BearMR","o",5,"E2"
"389","BearMR","p",5,"D2"
"390","BearMR","p",5,"E2"
"391","BearMR","p",5,"E3"
"392","BearMR","p",5,"F3"
"393","BearMR","q",5,"A3"
"394","BearMR","q",5,"A4"
"395","BearMR","q",5,"C3"
"396","BearMR","q",5,"C4"
"397","BearMR","r",5,"E2"
"398","BearMR","r",5,"F1"
"399","BearMR","r",5,"F2"
"400","BearMR","s",5,"C1"
"401","BearMR","s",5,"E2"
"402","BearMR","s",5,"F2"
"403","BearMR","t",5,"C5"
"404","BearMR","t",5,"D6"
"405","BearMR","u",5,"B1"
"406","BearMR","u",5,"B4"
"407","BearMR","u",5,"C2"
"408","BearMR","u",5,"C3"
"409","BearMR","u",5,"D1"
"410","BearMR","u",5,"E2"
"411","BearMR","v",5,"E2"
"412","BearMR","v",5,"E3"
"413","BearMR","v",5,"E4"
"414","BearMR","v",5,"F3"
"415","BearMR","w",5,"B1"
"416","BearMR","w",5,"D1"
"417","BearMR","w",5,"D2"
"418","BearMR","w",5,"D3"
"419","BearMR","w",5,"F3"
"420","BearMR","x",5,"F1"
"421","BearMR","y",5,"E4"
"422","BearMR","y",5,"E5"
"423","BearMR","y",5,"F2"
"424","BearMR","y",5,"F4"
"425","BearMR","z",5,"F3"
"426","BearMR","z",5,"F5"
"427","BearMR","A",5,"C3"
"428","BearMR","A",5,"D3"
"429","BearMR","A",5,"E2"
"430","BearMR","A",5,"F2"
"431","BearMR","B",5,"B2"
"432","BearMR","B",5,"C1"
"433","BearMR","B",5,"C2"
"434","BearMR","B",5,"D2"
"435","BearMR","C",5,"B3"
"436","BearMR","C",5,"C3"
"437","BearMR","C",5,"D3"
"438","BearMR","D",5,"A6"
"439","BearMR","D",5,"B5"
"440","BearMR","a",6,"A6"
"441","BearMR","a",6,"B6"
"442","BearMR","a",6,"C5"
"443","BearMR","b",6,"C6"
"444","BearMR","b",6,"D5"
"445","BearMR","b",6,"E6"
"446","BearMR","d",6,"D4"
"447","BearMR","d",6,"E3"
"448","BearMR","d",6,"E4"
"449","BearMR","d",6,"F4"
"450","BearMR","e",6,"E4"
"451","BearMR","e",6,"F4"
"452","BearMR","e",6,"F5"
"453","BearMR","e",6,"F6"
"454","BearMR","f",6,"D2"
"455","BearMR","f",6,"D3"
"456","BearMR","f",6,"E1"
"457","BearMR","f",6,"E2"
"458","BearMR","f",6,"E4"
"459","BearMR","g",6,"B6"
"460","BearMR","g",6,"C5"
"461","BearMR","g",6,"D3"
"462","BearMR","g",6,"D4"
"463","BearMR","g",6,"D6"
"464","BearMR","h",6,"F1"
"465","BearMR","h",6,"F2"
"466","BearMR","i",6,"B2"
"467","BearMR","i",6,"C2"
"468","BearMR","i",6,"C3"
"469","BearMR","i",6,"D1"
"470","BearMR","i",6,"D2"
"471","BearMR","i",6,"D3"
"472","BearMR","i",6,"D4"
"473","BearMR","j",6,"A3"
"474","BearMR","j",6,"A5"
"475","BearMR","j",6,"B3"
"476","BearMR","l",6,"F1"
"477","BearMR","l",6,"F2"
"478","BearMR","m",6,"B5"
"479","BearMR","m",6,"C6"
"480","BearMR","n",6,"C4"
"481","BearMR","n",6,"D4"
"482","BearMR","n",6,"D5"
"483","BearMR","n",6,"F6"
"484","BearMR","o",6,"C2"
"485","BearMR","o",6,"D3"
"486","BearMR","o",6,"D4"
"487","BearMR","o",6,"E2"
"488","BearMR","o",6,"F3"
"489","BearMR","p",6,"D3"
"490","BearMR","p",6,"E3"
"491","BearMR","p",6,"F3"
"492","BearMR","q",6,"A6"
"493","BearMR","q",6,"B4"
"494","BearMR","q",6,"B5"
"495","BearMR","q",6,"D3"
"496","BearMR","r",6,"E2"
"497","BearMR","r",6,"E4"
"498","BearMR","r",6,"F4"
"499","BearMR","s",6,"C1"
"500","BearMR","s",6,"D1"
"501","BearMR","s",6,"D2"
"502","BearMR","s",6,"D3"
"503","BearMR","t",6,"A6"
"504","BearMR","t",6,"D5"
"505","BearMR","u",6,"B3"
"506","BearMR","u",6,"C2"
"507","BearMR","u",6,"C3"
"508","BearMR","u",6,"D1"
"509","BearMR","u",6,"D3"
"510","BearMR","v",6,"D4"
"511","BearMR","v",6,"E2"
"512","BearMR","v",6,"F5"
"513","BearMR","w",6,"E1"
"514","BearMR","x",6,"F1"
"515","BearMR","x",6,"F2"
"516","BearMR","y",6,"E4"
"517","BearMR","y",6,"F5"
"518","BearMR","A",6,"C1"
"519","BearMR","A",6,"C3"
"520","BearMR","A",6,"D2"
"521","BearMR","A",6,"E2"
"522","BearMR","B",6,"C1"
"523","BearMR","B",6,"C2"
"524","BearMR","B",6,"D1"
"525","BearMR","B",6,"D2"
"526","BearMR","C",6,"A2"
"527","BearMR","C",6,"A4"
"528","BearMR","C",6,"B3"
"529","BearMR","C",6,"B4"
"530","BearMR","C",6,"C5"
"531","BearMR","D",6,"B5"
"532","BearMR","D",6,"B6"
"533","BearMR","D",6,"C5"
"534","BearMR","D",6,"D5"
