"type","ID","Period","site"
"371","BearMR","f",5,"C1"
"372","BearMR","f",5,"D2"
"373","BearMR","g",5,"D5"
"374","BearMR","g",5,"E4"
"375","BearMR","g",5,"E5"
"376","BearMR","g",5,"F4"
"377","BearMR","h",5,"D6"
"378","BearMR","h",5,"E5"
"379","BearMR","h",5,"E6"
"380","BearMR","h",5,"F6"
"381","BearMR","i",5,"A4"
"382","BearMR","i",5,"B2"
"383","BearMR","i",5,"B4"
"384","BearMR","i",5,"B6"
"385","BearMR","j",5,"A4"
"386","BearMR","j",5,"B6"
"387","BearMR","j",5,"C6"
"388","BearMR","k",5,"C2"
"389","BearMR","k",5,"D1"
"390","BearMR","k",5,"D2"
"391","BearMR","l",5,"D5"
"392","BearMR","l",5,"D6"
"393","BearMR","l",5,"E6"
"394","BearMR","l",5,"F5"
"395","BearMR","m",5,"D5"
"396","BearMR","m",5,"E5"
"397","BearMR","n",5,"B3"
"398","BearMR","n",5,"C2"
"399","BearMR","o",5,"A6"
"400","BearMR","o",5,"B5"
"401","BearMR","o",5,"C6"
"402","BearMR","p",5,"D6"
"403","BearMR","p",5,"F5"
"404","BearMR","p",5,"F6"
"405","BearMR","q",5,"A3"
"406","BearMR","q",5,"A5"
"407","BearMR","q",5,"B4"
"408","BearMR","r",5,"A5"
"409","BearMR","r",5,"B4"
"410","BearMR","r",5,"B5"
"411","BearMR","r",5,"B6"
"412","BearMR","r",5,"C3"
"413","BearMR","s",5,"E1"
"414","BearMR","s",5,"E2"
"415","BearMR","s",5,"F1"
"416","BearMR","t",5,"A3"
"417","BearMR","t",5,"C4"
"418","BearMR","t",5,"C5"
"419","BearMR","t",5,"D1"
"420","BearMR","t",5,"D3"
"421","BearMR","t",5,"D4"
"422","BearMR","t",5,"E3"
"423","BearMR","v",5,"A2"
"424","BearMR","v",5,"B1"
"425","BearMR","v",5,"B2"
"426","BearMR","v",5,"B3"
"427","BearMR","v",5,"C2"
"428","BearMR","v",5,"E2"
"429","BearMR","w",5,"C1"
"430","BearMR","w",5,"D1"
"431","BearMR","w",5,"E2"
"432","BearMR","x",5,"D5"
"433","BearMR","x",5,"D6"
"434","BearMR","x",5,"E5"
"435","BearMR","x",5,"F4"
"436","BearMR","y",5,"A2"
"437","BearMR","y",5,"C3"
"438","BearMR","z",5,"A3"
"439","BearMR","z",5,"B5"
"440","BearMR","z",5,"B6"
"441","BearMR","z",5,"C6"
"442","BearMR","A",5,"A4"
"443","BearMR","A",5,"A6"
"444","BearMR","A",5,"B5"
"445","BearMR","A",5,"B6"
"446","BearMR","B",5,"A2"
"447","BearMR","B",5,"A3"
"448","BearMR","B",5,"C2"
"449","BearMR","C",5,"E3"
"450","BearMR","C",5,"F2"
"451","BearMR","D",5,"C2"
"452","BearMR","D",5,"C4"
"453","BearMR","D",5,"D2"
"454","BearMR","D",5,"D4"
