"","FullN.notRedun","SubProp.notRedun","SubN.notRedun","Denhat","Denhat.SE","g0","g0.bTRUE","sigma","trial","model","size","fullN","whichSource","sim"
"497",507,0.596470588235294,507,404.017994085393,63.7567438160365,-2.41383560721306,3.04047644289465,1.55440774635834,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10018.rds"
"498",507,0.596470588235294,507,404.018467214443,63.7568202851517,-2.41383433993687,3.04048009086386,1.55440632437221,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10019.rds"
"499",507,0.596470588235294,507,404.018517292418,63.7568249869791,-2.41382948464818,3.04047305190806,1.55440533187295,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10021.rds"
"500",507,0.596470588235294,507,404.018475566456,63.7568208591065,-2.4138343143585,3.04047845379279,1.55440629869828,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10022.rds"
"501",507,0.596470588235294,507,404.018444968907,63.7568161450392,-2.41383438713201,3.04047870520308,1.55440638902133,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10023.rds"
"502",507,0.596470588235294,507,404.018421880503,63.7568127157307,-2.41383483552096,3.0404790035556,1.5544065273517,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10024.rds"
"503",507,0.596470588235294,507,404.018578376602,63.7568369851639,-2.41383449301481,3.04047805299108,1.55440607067782,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10026.rds"
"504",507,0.596470588235294,507,404.018492909595,63.7568239523614,-2.41383419952141,3.04047947852656,1.55440623437786,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10027.rds"
"505",507,0.596470588235294,507,404.018120592538,63.7567652658823,-2.41383335276977,3.04048071502874,1.55440702450629,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10029.rds"
"506",507,0.596470588235294,507,404.018069162282,63.7567570704002,-2.41383352930842,3.04048040235784,1.55440718599634,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10031.rds"
"507",507,0.596470588235294,507,404.018475163752,63.7568215848195,-2.41383433882358,3.04048009915759,1.55440630407944,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10032.rds"
